asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
6301969316,Gaslight,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty",N/A,USA,George Cukor,"Crime, Drama, Film-Noir",English,N/A,MGM,PASSED,30 Oct 1944,114 min,movie,"John Van Druten (screenplay), Walter Reisch (screenplay), John L. Balderston (screenplay), Patrick Hamilton (play)",1944,tt0036855,7.9,"18,584"
B000BYA5G4,Lord of War,"Nicolas Cage, Bridget Moynahan, Jared Leto, Shake Tukhmanyan","$24,033,036","USA, Germany, France",Andrew Niccol,"Crime, Drama, Thriller","English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish",62,Lions Gate,R,16 Sep 2005,122 min,movie,Andrew Niccol,2005,tt0399295,7.6,"263,265"
B00003CXRG,Before Night Falls,"Olatz López Garmendia, Giovanni Florido, Loló Navarro, Batan Silva","$2,768,814",USA,Julian Schnabel,"Biography, Drama, Romance","English, Spanish, Russian, French",85,Fine Line Features,R,23 Feb 2001,133 min,movie,"Cunningham O'Keefe, Lázaro Gómez Carriles, Julian Schnabel, Reynaldo Arenas (memoir ""Before Night Falls""), Jana Bokova (documentary ""Havana"")",2000,tt0247196,7.3,"21,758"
B0000509C5,Maximum Overdrive,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",N/A,USA,Stephen King,"Action, Comedy, Horror",English,24,Lorimar Home Video,R,25 Jul 1986,98 min,movie,"Stephen King (film by), Stephen King (written for the screen by)",1986,tt0091499,5.4,"25,209"
630327417X,Endless Summer,"Susana Ortiz, Horacio Peña, Chany Mallo, Tincho Zabala",,Argentina,N/A,"Drama, Comedy, Romance",Spanish,N/A,,N/A,12 Jan 1998,60 min,series,N/A,1998–2000,tt0191745,6.7,158
B0008FXT1Y,Be Cool,"John Travolta, Uma Thurman, Vince Vaughn, Cedric the Entertainer","$55,590,667",USA,F. Gary Gray,"Comedy, Crime, Music","English, Russian",37,MGM/UA,PG-13,04 Mar 2005,118 min,movie,"Elmore Leonard (novel), Peter Steinfeld (screenplay)",2005,tt0377471,5.7,"62,008"
B00005JKWI,Queen's Blade 2: The Evil Eye,"Atsuko Tanaka, Kenzie Brooke, Jessica Calvello, Darla Chaney",,Japan,N/A,"Animation, Action, Adventure",Japanese,N/A,,TV-MA,24 Sep 2009,24 min,series,N/A,2009–,tt1515985,6.9,204
6303414028,Glen or Glenda,"Bela Lugosi, Lyle Talbot, Timothy Farrell, Dolores Fuller",N/A,USA,Edward D. Wood Jr.,Drama,English,N/A,Screen Classics Inc.,PG,01 Apr 1953,65 min,movie,Edward D. Wood Jr. (story and written by),1953,tt0045826,4.2,"7,041"
630580740X,Deep Red,"David Hemmings, Daria Nicolodi, Gabriele Lavia, Macha Méril",N/A,Italy,Dario Argento,"Horror, Mystery, Thriller","Italian, German",N/A,Anchor Bay Entertainment,NOT RATED,11 Jun 1976,126 min,movie,"Dario Argento, Bernardino Zapponi (screenplay)",1975,tt0073582,7.7,"23,456"
630179821X,Terror Train,"Ben Johnson, Jamie Lee Curtis, Hart Bochner, David Copperfield",N/A,"Canada, USA",Roger Spottiswoode,"Horror, Thriller",English,N/A,20th Century Fox Film Corporation,R,03 Oct 1980,97 min,movie,T.Y. Drake,1980,tt0081617,5.9,"7,398"
