title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Whiteout,B001QOGYFO,2009,True,"['Action', 'Crime', 'Mystery', 'Thriller']",101,"['Warner Bros.', 'Dark Castle Entertainment', 'StudioCanal', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Manitoba Film and Video Production Tax Credit', 'Ontario Media Development Corporation (OMDC)', 'Don Carmody Productions', 'McMurdo (Canada) Productions', ""Mel's Cite du Cinema""]",5.5,33774.0,['Dominic Sena']
The Three Musketeers,6303066720,2011,True,"['Action', 'Adventure', 'Romance']",110,"['Summit Entertainment', 'Constantin Film', 'Impact Pictures', 'Nouvelles Éditions de Films (NEF)', 'New Legacy', 'Studio Babelsberg']",5.8,94167.0,['Paul W.S. Anderson']
The Best Years of Our Lives,0792846133,1946,True,"['Drama', 'Romance', 'War']",170,"['Samuel Goldwyn Company, The']",8.1,45068.0,['William Wyler']
The Matador,B000EQ5UI2,2005,True,"['Comedy', 'Crime', 'Drama', 'Thriller']",96,"['Stratus Film Co.', 'DEJ Productions', 'Equity Pictures Medienfonds GmbH & Co. KG II', 'Furst Films', 'Irish DreamTime', 'Yari Film Group', 'Syndicate, The']",6.8,41610.0,['Richard Shepard']
The Men Who Stare at Goats,B002VECMAE,2009,True,"['Comedy', 'War']",94,"['BBC Films', 'Ruby Films', 'Smokehouse Pictures', 'Westgate Film Services', 'Winchester Capital Partners']",6.2,115355.0,['Grant Heslov']
M Is for Metamorphose: The ABC's of Death 2,B00B04NJI0,2013,False,"['Short', 'Drama', 'Horror']",3,"['Inside FX', 'Kipon', 'Vicent Films']",4.4,18.0,['Sergio Morcillo']
The Philadelphia Story,0790743221,1940,False,"['Comedy', 'Romance']",112,['Metro-Goldwyn-Mayer (MGM)'],8.0,53987.0,['George Cukor']
Dogville,B00029QXAK,2003,True,"['Crime', 'Drama']",178,"['Zentropa Entertainments', 'Isabella Films B.V.', 'Something Else B.V.', 'Memfis Film', 'Trollhättan Film AB', 'Pain Unlimited GmbH Filmproduktion', 'Sigma Films', 'Zoma Films Ltd.', 'Slot Machine', 'Liberator Productions', 'Film i Väst', 'Arte France Cinéma', 'France 3 Cinéma', 'WDR / Arte', 'Danmarks Radio (DR)', 'Sveriges Television (SVT)', 'Nederlandse Programma Stichting (NPS)', 'YLE TV1', 'Norsk TV2 AS', 'Edith Film Oy', 'Spillefilmkompaniet 4 1/2', 'Fjeldabe Films AS', 'Invicta Capital', 'TV 1000', 'Planet Pictures', 'Canal+', 'Det Danske Filminstitut', 'Eurimages', 'Svenska Filminstitutet (SFI)', 'Nordisk Film- & TV-Fond', 'Filmstiftung Nordrhein-Westfalen', 'CoBo Fonds', 'Foundation for Audiovisual Production', 'Film Fund of the Netherlands', 'Finnish Film Foundation', 'European Regional Development Fund', '4 1/2 Film']",8.0,116656.0,['Lars von Trier']
The Tale of Despereaux,B00188NXN4,2008,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",93,"['Universal Pictures', 'Relativity Media', 'Larger Than Life Productions', 'Framestore Feature Animation']",6.1,32639.0,"['Sam Fell', 'Robert Stevenhagen']"
Lost Highway,6304510861,1997,True,"['Mystery', 'Thriller']",134,"['October Films', 'CiBy 2000', 'Asymmetrical Productions', 'Lost Highway Productions LLC']",7.6,108706.0,['David Lynch']
Saboteur,0783236344,1942,False,"['Thriller', 'War']",109::(copyright length),"['Frank Lloyd Productions', 'Universal Pictures']",7.2,19295.0,['Alfred Hitchcock']
Red Eye,B000BVM1S2,2005,True,"['Mystery', 'Thriller']",85,"['DreamWorks', 'BenderSpink', 'Craven-Maddalena Films']",6.5,99626.0,['Wes Craven']
Lolita,B00000J2KV,1962,False,"['Crime', 'Drama', 'Romance']",153,"['A.A. Productions Ltd.', 'Anya', 'Harris-Kubrick Productions', 'Transworld Pictures']",7.6,75099.0,['Stanley Kubrick']
The Hot Chick,B00008K7AM,2002,True,"['Comedy', 'Fantasy']",104,"['Touchstone Pictures', 'Happy Madison Productions']",5.5,79977.0,['Tom Brady']
Megamind,B003UESJF6,2010,False,"['Animation', 'Action', 'Comedy', 'Family', 'Sci-Fi']",95,"['DreamWorks Animation', 'Pacific Data Images (PDI)', 'Red Hour Films']",7.3,189910.0,['Tom McGrath']
